id,date,competition,home,away,result,minute,score,what,how,jersey
197,2011-06-20,FRN,Argentina,Albania,4-0,42,2-0,,Left foot,10
198,2011-08-14,SUP,Real Madrid,FC Barcelona,2-2,45,1-2,,Left foot,10
199,2011-08-17,SUP,FC Barcelona,Real Madrid,3-2,45,2-1,,Right foot,10
200,2011-08-17,SUP,FC Barcelona,Real Madrid,3-2,87,3-2,,Left foot,10
201,2011-08-26,IUP,FC Barcelona,FC Porto,2-0,39,1-0,,Left foot,10
202,2011-08-29,PRM,FC Barcelona,Villarreal,5-0,52,4-0,,Right foot,10
203,2011-08-29,PRM,FC Barcelona,Villarreal,5-0,75,5-0,,Left foot,10
204,2011-09-17,PRM,FC Barcelona,Osasuna,8-0,5,1-0,,Left foot,10
205,2011-09-17,PRM,FC Barcelona,Osasuna,8-0,41,5-0,,Left foot,10
206,2011-09-17,PRM,FC Barcelona,Osasuna,8-0,79,8-0,,Left foot,10
207,2011-09-24,PRM,FC Barcelona,Atlético Madrid,5-0,26,3-0,,Left foot,10
208,2011-09-24,PRM,FC Barcelona,Atlético Madrid,5-0,78,4-0,,Left foot,10
209,2011-09-24,PRM,FC Barcelona,Atlético Madrid,5-0,90+1,5-0,,Left foot,10
210,2011-09-28,EUR,BATE Borisov,FC Barcelona,0-5,38,0-3,,Head,10
211,2011-09-28,EUR,BATE Borisov,FC Barcelona,0-5,55,0-4,,Left foot,10
212,2011-10-08,WCQ,Argentina,Chile,4-1,26,2-0,,Left foot,10
213,2011-10-15,PRM,FC Barcelona,Racing Santander,3-0,11,1-0,,Right foot,10
214,2011-10-15,PRM,FC Barcelona,Racing Santander,3-0,68,3-0,,Right foot,10
215,2011-10-29,PRM,FC Barcelona,Real Mallorca,5-0,13,1-0,Penalty,Left foot,10
216,2011-10-29,PRM,FC Barcelona,Real Mallorca,5-0,21,2-0,,Right foot,10
217,2011-10-29,PRM,FC Barcelona,Real Mallorca,5-0,30,3-0,,Left foot,10
218,2011-11-01,EUR,Viktoria Plzen,FC Barcelona,0-4,24,0-1,Penalty,Left foot,10
219,2011-11-01,EUR,Viktoria Plzen,FC Barcelona,0-4,45,0-2,,Left foot,10
220,2011-11-01,EUR,Viktoria Plzen,FC Barcelona,0-4,90+2,0-4,,Left foot,10
221,2011-11-06,PRM,Athletic de Bilbao,FC Barcelona,2-2,90+1,2-2,Rebound,Left foot,10
222,2011-11-15,WCQ,Colombia,Argentina,1-2,60,1-1,Rebound,Left foot,10
223,2011-11-19,PRM,FC Barcelona,Real Zaragoza,4-0,43,2-0,,Right foot,10
224,2011-11-23,EUR,AC Milan,FC Barcelona,2-3,31,1-2,Penalty,Left foot,10
225,2011-11-29,PRM,FC Barcelona,Rayo Vallecano,4-0,50,4-0,,Left foot,10
226,2011-12-03,PRM,FC Barcelona,Levante,5-0,55,4-0,,Left foot,10
227,2011-12-18,WCT,Santos,FC Barcelona,0-4,17,0-1,,Left foot,10
228,2011-12-18,WCT,Santos,FC Barcelona,0-4,82,0-4,,Left foot,10
229,2012-01-04,CUP,FC Barcelona,Osasuna,4-0,73,3-0,,Head,10
