date,competition,home,away,result,minute,score,what,how,video_start,video_end
2013-05-05,PRM,FC Barcelona,Real Betis,4-2,60,3-2,Free kick,Left foot
2013-05-05,PRM,FC Barcelona,Real Betis,4-2,71,4-2,,Left foot
2013-04-27,PRM,Athletic de Bilbao,FC Barcelona,2-2,67,1-1,Solo run,Left foot
2013-04-02,EUR,Paris Saint-Germain,FC Barcelona,2-2,38,0-1,,Left foot
2013-03-30,PRM,Celta de Vigo,FC Barcelona,2-2,73,1-2,,Left foot
2013-03-23,WCQ,Argentina,Venezuela,3-0,44,2-0,Penalty,Left foot
2013-03-17,PRM,FC Barcelona,Rayo Vallecano,3-1,40,2-0,,Left foot
2013-03-17,PRM,FC Barcelona,Rayo Vallecano,3-1,57,3-0,,Left foot
2013-03-12,EUR,FC Barcelona,AC Milan,4-0,5,1-0,,Left foot
2013-03-12,EUR,FC Barcelona,AC Milan,4-0,39,2-0,,Left foot
2013-03-09,PRM,FC Barcelona,Deportivo La Coruña,2-0,88,2-0,,Left foot
2013-03-02,PRM,Real Madrid,FC Barcelona,2-1,18,1-1,,Left foot
2013-02-23,PRM,FC Barcelona,Sevilla,2-1,60,2-1,,Left foot
2013-02-16,PRM,Granada,FC Barcelona,1-2,73,1-2,Free kick,Left foot
2013-02-16,PRM,Granada,FC Barcelona,1-2,50,1-1,Rebound,Right foot
2013-02-10,PRM,FC Barcelona,Getafe,6-1,13,2-0,,Left foot
2013-02-03,PRM,Valencia,FC Barcelona,1-1,39,1-1,Penalty,Left foot
2013-01-27,PRM,FC Barcelona,Osasuna,5-1,28,2-1,Penalty,Left foot
2013-01-27,PRM,FC Barcelona,Osasuna,5-1,11,1-0,,Right foot
2013-01-27,PRM,FC Barcelona,Osasuna,5-1,56,4-1,,Left foot
2013-01-27,PRM,FC Barcelona,Osasuna,5-1,58,5-1,,Left foot
2013-01-24,CUP,Málaga,FC Barcelona,2-4,80,2-4,,Head
2013-01-19,PRM,Real Sociedad,FC Barcelona,3-2,7,0-1,,Left foot
2013-01-16,CUP,FC Barcelona,Málaga,2-2,29,1-1,,Left foot
2013-01-13,PRM,Málaga,FC Barcelona,1-3,27,0-1,,Right foot
2013-01-06,PRM,FC Barcelona,Espanyol,4-0,29,4-0,Penalty,Left foot
2012-12-22,PRM,Real Valladolid,FC Barcelona,1-3,59,0-2,,Left foot
2012-12-16,PRM,FC Barcelona,Atlético Madrid,4-1,57,3-1,,Left foot
2012-12-16,PRM,FC Barcelona,Atlético Madrid,4-1,88,4-1,,Left foot
